DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
2014-05-01T00:00:00,2006-01-01T00:00:00,Imperial Terminal,Arrival,Domestic,490
2014-05-01T00:00:00,2006-01-01T00:00:00,Imperial Terminal,Departure,Domestic,498
2014-05-01T00:00:00,2006-01-01T00:00:00,Misc. Terminal,Arrival,Domestic,753
2014-05-01T00:00:00,2006-01-01T00:00:00,Misc. Terminal,Departure,Domestic,688
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 1,Arrival,Domestic,401535
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 1,Departure,Domestic,389745
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 1,Departure,International,561
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 2,Arrival,Domestic,98991
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 2,Arrival,International,163067
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 2,Departure,Domestic,93672
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 2,Departure,International,156751
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 3,Arrival,Domestic,121649
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 3,Arrival,International,26585
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 3,Departure,Domestic,120111
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 3,Departure,International,60948
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 4,Arrival,Domestic,381419
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 4,Arrival,International,68348
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 4,Departure,Domestic,374238
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 4,Departure,International,42256
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 5,Arrival,Domestic,135622
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 5,Arrival,International,32634
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 5,Departure,Domestic,128138
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 5,Departure,International,25531
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 6,Arrival,Domestic,195820
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 6,Arrival,International,6190
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 6,Departure,Domestic,195765
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 6,Departure,International,5567
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 7,Arrival,Domestic,240807
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 7,Arrival,International,36658
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 7,Departure,Domestic,231679
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 7,Departure,International,43104
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 8,Arrival,Domestic,101253
2014-05-01T00:00:00,2006-01-01T00:00:00,Terminal 8,Departure,Domestic,100406
2014-05-01T00:00:00,2006-01-01T00:00:00,Tom Bradley International Terminal,Arrival,Domestic,2658
2014-05-01T00:00:00,2006-01-01T00:00:00,Tom Bradley International Terminal,Arrival,International,410940
2014-05-01T00:00:00,2006-01-01T00:00:00,Tom Bradley International Terminal,Departure,International,361082
2014-05-01T00:00:00,2006-02-01T00:00:00,Imperial Terminal,Arrival,Domestic,200
2014-05-01T00:00:00,2006-02-01T00:00:00,Imperial Terminal,Departure,Domestic,166
2014-05-01T00:00:00,2006-02-01T00:00:00,Misc. Terminal,Arrival,Domestic,214
2014-05-01T00:00:00,2006-02-01T00:00:00,Misc. Terminal,Departure,Domestic,183
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 1,Arrival,Domestic,350829
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 1,Departure,Domestic,346828
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 1,Departure,International,575
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 2,Arrival,Domestic,88549
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 2,Arrival,International,135504
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 2,Departure,Domestic,87518
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 2,Departure,International,135798
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 3,Arrival,Domestic,115531
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 3,Arrival,International,24681
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 3,Departure,Domestic,115461
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 3,Departure,International,56437
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 4,Arrival,Domestic,341132
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 4,Arrival,International,59514
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 4,Departure,Domestic,340906
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 4,Departure,International,37848
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 5,Arrival,Domestic,119847
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 5,Arrival,International,26363
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 5,Departure,Domestic,121053
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 5,Departure,International,25875
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 6,Arrival,Domestic,179516
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 6,Arrival,International,5816
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 6,Departure,Domestic,182833
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 6,Departure,International,3839
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 7,Arrival,Domestic,226341
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 7,Arrival,International,29077
